Row Column, Keyboard                                                                                                      , Mouse        , Monitor      , Monitor Brand, HDMI                      , Ethernet   , Cable Ties                               , System Unit   , Can access Admin, System Unit Brand, Device Name    , Processor     , Processor Speed            , RAM Installed , RAM Speed     , Storage (Usable)      , WiFi enabled  , OS installed          , OS Installation Date, Graphics Card                                   , Student Domain Connected here?, Padlocked     , Errors:
R3C2      , Present                                                                                                       , Present      , Present      , HP           , Present                   , Present    , Present                                  , Present       , Yes             , HP               , Elgon 09       , Core i5-10500 , 3.10GHz (12 CPUs - 6 Cores), 4GB           , 3200MHz       , 500GB (477GB) SSD NVMe, Yes           , Windows 11 Pro N 23H2 , 09/02/2023          , 128 Mb Intel® UHD Graphics 630                  , Yes                           , Yes           , 
R3C3      , Present                                                                                                       , Present      , Present      , HP           , Taken by Steve Luyo(13/05), Present    , Present                                  , Present       , Yes             , HP               , Elgon 008      , Core i5-10500 , 3.10GHz (12 CPUs - 6 Cores), 4GB           , 2667MT/s      , 500GB (477GB) SSD     , Yes           , Windows 11 Pro N 23H2 , 09/02/2023          , 128 Mb Intel® UHD Graphics 630                  , Yes                           , Yes           , 
R3C4      , Present                                                                                                       , Present      , Present      , HP           , Present                   , Present    , Keyboard doesn't have                    , Present       , Yes             , HP               , Elgon 027      , Core i7-12700 , 2.10GHz (20CPUs - 12 Cores), 16GB          , 4400MHz       , 500GB (477GB) SSD     , Yes           , Windows 10 Pro  - 22H2, 11/27/2024          , 128 Mb Intel® UHD Graphics 770                  , Yes                           , Yes           , 
R3C5      , Present                                                                                                       , Present      , Present      , HP           , Present                   , Present    , Keyboard & Mouse don't have              , Present       , Needs Reset     , HP               , Elgon 028      , Core i7-12700 , 2.10GHz (20CPUs - 12 Cores), 16GB          , 4400MT/s      , 500GB (477GB) SSD     , Yes           , Windows 11 Pro  - 22H2, 01/07/2025          , 128 Mb Intel® UHD Graphics 770 & NVIDIA T400 4GB, Yes                           , Yes           , 
          , ROW 4                                                                                                         ,              ,              ,              ,                           ,            ,                                          ,               ,                 ,                  ,                ,               ,                            ,               ,               ,                       ,               ,                       ,                     ,                                                 ,                               ,               , 
R4C1      , Present                                                                                                       , No Mouse     , Present      , HP           , Present                   , Present    , Keyboard doesn't have                    , Present       , Yes             , HP               , Elgon 013      , Core i5-10500 , 3.10GHz (12 CPUs - 6 Cores), 4GB           , 2667MT/s      , 500GB (477GB) SSD     , Yes           , Windows 11 Pro N 23H2 , 02/09/2023          , 128 Mb Intel® UHD Graphics 630                  , Yes                           , Yes           , 
R4C2      , Present                                                                                                       , No Mouse     , Present      , HP           , No System Unit            , Present    , Present                                  , No System Unit, No  System Unit , No System Unit   , No System Unit , No System Unit, No System Unit             , No System Unit, No System Unit, No System Unit        , No System Unit, No System Unit        , No System Unit      , No System Unit                                  , No system unit                , No system unit, 
R4C3      , Present                                                                                                       , No Mouse     , Present      , HP           , Present                   , Present    , Present                                  , Present       , Has Issues      , HP               ,                ,               ,                            ,               ,               ,                       ,               ,                       ,                     ,                                                 ,                               , Yes           , "- Has an issue where it produces beep codes (3 long, 2 short) - Consulting indicates it is most likely a memory issue;
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        - Starting Monday 4th April; Beep codes stopped but did not boot.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        - Starting Thursday 14th April; Beep codes back on"
R4C4      , Present                                                                                                       , Present      , Present      , HP           , Present                   , Present    , Present                                  , Present       , Yes             , HP               , Elgon-031      , Core i5-10500 , 3.10GHz (12 CPUs - 6 Cores), 4GB           , 2667MT/s      , 500GB (477GB) SSD NVMe, Yes           , Windows 11 Pro N 24H2 , 04/16/2025          , 128 Mb Intel® UHD Graphics 630                  , No access to student domain   , Yes           , The trust relationship between workstation and the primary domain failed
R4C5      , Present                                                                                                       , Present      , Present      , HP           , Present                   , Present    , Mouse doesn't have                       , Present       , Yes             , HP               , Elgon-030      , Core i7-12700 , 2.10GHz (20CPUs - 12 Cores), 16GB          , 4400MT/s      , 500GB (477GB) SSD     , Yes           , Windows 11 Pro  22H2  , 11/29/2024          , 128 Mb Intel® UHD Graphics 770 & NVIDIA T400 4GB, Yes                           , Yes           , 
          , ROW 5                                                                                                         ,              ,              ,              ,                           ,            ,                                          ,               ,                 ,                  ,                ,               ,                            ,               ,               ,                       ,               ,                       ,                     ,                                                 ,                               ,               , 
R5C1      , Present                                                                                                       , Present      , Present      , HP           , Present                   , Present    , Keyboard & Mouse don't have              , Present       , Has Issues      , HP               ,                ,               ,                            ,               ,               ,                       ,               ,                       ,                     ,                                                 ,                               , Yes           , "- Has an issue where it automatically shows a repair screen when started and asks you to restart or troubleshoot, restarting causes the PC to entire a cycle of continuously blue screening and restarting
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        - When tested with an external drive used to reset the admin passwords, says that Hard drive could not be located"
R5C2      , Present                                                                                                       , Present      , Present      , HP           , Present                   , Present    , Present                                  , Present       , Yes             , HP               , Elgon 22       , Core i5-10500 , 3.10GHz (12 CPUs - 6 Cores), 4GB           , 2667MT/s      , 500GB (477GB) SSD NVMe, Yes           , Windows 11 Pro N 23H2 , 09/02/2023          , 128 Mb Intel® UHD Graphics 630                  , Yes                           , Yes           , 
R5C3      , Present                                                                                                       , No Mouse     , Present      , HP           , No System Unit            , Present    , Present                                  , No System Unit, No System Unit  , No system unit   , No system unit , No system unit, No system unit             , No system unit, No system unit, No system unit        , No system unit, No system unit        , No system unit      , No system unit                                  , No system unit                , No system unit, 
R5C4      , Present                                                                                                       , No Mouse     , Present      , HP           , Present                   , Present    , "HDMI cable, Keyboard & Mouse don't have", Present       , Yes             , HP               , Elgon 14       , Core i5-10500 , 3.10GHz (12 CPUs - 6 Cores), 8GB           , 2667MT/s      , 500GB (477GB) SSD NVMe, Yes           , Windows 11 Pro N 25H2 , 02/22/2025          , 128 Mb Intel® UHD Graphics 630                  , Yes                           , Yes           , 
R5C5      , Present                                                                                                       , No Mouse     , Present      , Lenovo       , Present                   , Present    , Keyboard & Mouse don't have              , Present       , Yes             , Lenovo           , Kiambere 2     , Core i5-6500  , 2.71GHz (4 CPUs - 4 Cores) , 4GB           , 2133MHz       , 500GB (477GB) HDD     , Yes           , Windows 10 Pro N 22H2 , 12/17/2022          , 128 Mb Intel® UHD Graphics 530                  , No access to student domain   , Yes           , Only shows the admin profile
          , ROW 6                                                                                                         ,              ,              ,              ,                           ,            ,                                          ,               ,                 ,                  ,                ,               ,                            ,               ,               ,                       ,               ,                       ,                     ,                                                 ,                               ,               , 
R6C1      , Present                                                                                                       , Present      , Present      , Lenovo       , Uses VGA                  , Present    , Keyboard & Mouse don't have              , Present       , Yes             , Lenovo           , Elgon 19       , Core i5-4430S , 2.70GHz (4 CPUs - 4 Cores) , 4GB           , 1600MHz       , 500GB (465GB) HDD     , Yes           , Windows 10 Pro N 22H2 , 12/20/2022          , 128 Mb Intel® UHD Graphics 630                  , Yes                           , Yes           , 
R6C2      , Present                                                                                                       , Present      , Present      , HP           , No System Unit            , Present    , Present                                  , No System Unit, No System Unit  , No System Unit   , No System Unit , No System Unit, No System Unit             , No System Unit, No System Unit, No System Unit        , No System Unit, No System Unit        , No System Unit      , No System Unit                                  , No system unit                , No system unit, 
